Product Name,Sex,Category,Discounted Price,Original Price,Core Colors,Limited Edition Colors,Discounted Limited Edition Colors,Sizes,Discounted Limited Edition Colors Price
Off-Shift Slim Jogger Sweatpant™,Women,Loungewear,$51.00,68.0,"Black, Mauve, Charcoal, Heather Grey",Dark Fawn,Lilac Dawn,"XS, S, M, L, XL, 2XL",44.2
Off-Shift Hoodie Sweatshirt™,Women,Loungewear,$58.50,78.0,"Mauve, Charcoal, Dark Fawn, Heather Grey",,,"XS, S, M, L, XL, 2XL",50.7
Off-Shift Slim Jogger Sweatpant™,Women,Loungewear,$51.00,68.0,"Black, Mauve, Charcoal, Heather Grey",Dark Fawn,Lilac Dawn,"XS, S, M, L, XL, 2XL",44.2
Off-Shift Relaxed Sweatpant™,Women,Loungewear,$51.00,68.0,"Black, Heather Grey",,,"XXS, XS, S, M, L, XL, 2XL",44.2
Off-Shift Slim Jogger Sweatpant™,Women,Loungewear,$51.00,68.0,"Black, Mauve, Charcoal, Heather Grey",Dark Fawn,Lilac Dawn,"XS, S, M, L, XL, 2XL",44.2
Off-Shift Slim Jogger Sweatpant™,Women,Loungewear,$44.20,68.0,"Black, Mauve, Charcoal, Heather Grey",Dark Fawn,Lilac Dawn,"XS, S, M, L, XL, 2XL",44.2
FIGS | Lingua Franca I Am A Nurse Cotton Sweatshirt,Women,Loungewear,$93.75,125.0,Cream,,,"XS, S, M, L, XL, 2XL, 3XL",81.25
Off-Shift Racing Jogger Sweatpant™,Women,Loungewear,$44.20,68.0,British Racing Green,,,"XXS, XS, S, M, L, XL, 2XL",44.2
FIGS | Lingua Franca Nurses Do It With Heart Cotton Sweatshirt,Women,Loungewear,$93.75,125.0,Cream,,,"XS, S, M, L, XL, 2XL, 3XL",81.25
FIGS | Lingua Franca 24/7/365 Cotton Sweatshirt,Women,Loungewear,$93.75,125.0,Cream,,,"XS, S, M, L, XL, 2XL, 3XL",81.25
Essential Hoodie,Women,Loungewear,$51.00,68.0,Heather Grey,,,"XS, S, M, L, XL, 2XL",44.2
Off-Shift Relaxed Sweatpant™,Women,Loungewear,$51.00,68.0,"Black, Heather Grey",,,"XXS, XS, S, M, L, XL, 2XL",44.2
